Top 10 in network stringDB_interactions_p53.tsv ranked by Betweenness method
Rank,Name,Score
1,TP53,218.49427832090234
2,BCL2,85.5781600098002
3,MDM2,77.84670089832493
4,EP300,77.22399663893339
5,SIRT1,60.720873823782696
6,MYC,49.87226340771098
7,CDKN2A,47.032884485979125
8,ATM,43.842320311591415
9,HSP90AA1,43.70190424331157
10,CDKN1A,43.3295982338855
