Top 10 in network stringDB_interactions_p53.tsv ranked by Closeness method
Rank,Name,Score
1,TP53,50.0
2,MDM2,46.5
3,EP300,45.5
3,MYC,45.5
5,CDKN2A,45.0
5,ATM,45.0
5,BRCA1,45.0
5,BCL2,45.0
9,HSP90AA1,44.5
10,HDAC1,43.5
